Fecha,Hora,Temperatura,Humedad,Lluvia,Luz,Viento
2025-05-20,15:59:43,26.8,58.0,Sin lluvia,Nublado,4
2025-05-20,15:59:48,26.8,58.0,Sin lluvia,Nublado,4
2025-05-20,15:59:53,26.8,58.0,Sin lluvia,Nublado,4
2025-05-20,15:59:58,26.8,58.0,Sin lluvia,Nublado,4
2025-05-20,16:00:03,26.8,58.0,Sin lluvia,Nublado,4
2025-05-20,16:00:08,26.8,58.0,Sin lluvia,Nublado,4
2025-05-20,16:00:14,26.8,59.0,Sin lluvia,Nublado,4
2025-05-20,16:00:19,26.8,59.0,Sin lluvia,Nublado,4
2025-05-20,16:00:24,26.8,59.0,Sin lluvia,Nublado,4
2025-05-20,16:00:29,26.8,59.0,Sin lluvia,Nublado,4
2025-05-20,16:00:34,26.8,59.0,Sin lluvia,Nublado,4
2025-05-20,16:00:39,26.8,59.0,Sin lluvia,Nublado,4
2025-05-20,16:00:44,26.8,59.0,Sin lluvia,Nublado,4
2025-05-20,16:00:49,26.8,59.0,Sin lluvia,Nublado,4
2025-05-20,16:00:54,26.8,59.0,Sin lluvia,Nublado,4
2025-05-20,16:00:59,26.8,59.0,Sin lluvia,Nublado,4
2025-05-20,16:01:04,26.8,58.0,Sin lluvia,Nublado,4
2025-05-20,16:01:09,26.8,58.0,Sin lluvia,Nublado,4
2025-05-20,16:01:14,26.8,58.0,Sin lluvia,Nublado,4
2025-05-20,16:01:19,26.8,58.0,Sin lluvia,Nublado,4
2025-05-20,16:01:24,26.8,58.0,Sin lluvia,Nublado,4
2025-05-20,16:01:29,26.8,58.0,Sin lluvia,Nublado,4
2025-05-20,16:01:34,26.8,58.0,Sin lluvia,Nublado,4
2025-05-20,16:01:39,26.7,58.0,Sin lluvia,Nublado,4
2025-05-20,16:01:44,26.8,58.0,Sin lluvia,Nublado,4
2025-05-20,16:01:49,26.7,58.0,Sin lluvia,Nublado,4
2025-05-20,16:01:54,26.7,58.0,Sin lluvia,Nublado,4
2025-05-20,16:01:59,26.7,58.0,Sin lluvia,Nublado,4
2025-05-20,16:02:04,26.6,58.0,Sin lluvia,Nublado,4
2025-05-20,16:02:09,26.7,58.0,Sin lluvia,Nublado,4
2025-05-20,16:02:14,26.6,58.0,Sin lluvia,Nublado,4
2025-05-20,16:02:19,26.7,58.0,Sin lluvia,Nublado,4
2025-05-20,16:02:24,26.7,58.0,Sin lluvia,Nublado,4
2025-05-20,16:02:29,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:02:34,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:02:39,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:02:44,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:02:49,26.7,59.0,Sin lluvia,Nublado,4
2025-05-20,16:02:54,26.7,59.0,Sin lluvia,Nublado,4
2025-05-20,16:02:59,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:03:05,26.7,59.0,Sin lluvia,Nublado,4
2025-05-20,16:03:10,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:03:15,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:03:20,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:03:25,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:03:30,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:03:35,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:03:40,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:03:45,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:03:50,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:03:55,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:04:00,26.6,59.0,Sin lluvia,Nublado,4
2025-05-20,16:04:05,26.6,59.0,Sin lluvia,Nublado,4
